,onset,duration,trial_type
0,0.0,33.0,tones
1,33.0,3.0,response
2,36.0,31.5,negative_music
3,67.5,3.0,response
4,70.5,31.5,tones
5,102.0,3.0,response
6,105.0,31.5,positive_music
7,136.5,3.0,response
8,139.5,31.5,tones
9,171.0,3.0,response
10,174.0,31.5,negative_music
11,205.5,3.0,response
12,208.5,31.5,tones
13,240.0,3.0,response
14,243.0,31.5,positive_music
15,274.5,3.0,response
16,277.5,31.5,tones
17,309.0,3.0,response
18,312.0,33.0,tones
19,345.0,3.0,response
20,348.0,31.5,positive_music
21,379.5,3.0,response
22,382.5,31.5,tones
23,414.0,3.0,response
24,417.0,31.5,negative_music
25,448.5,3.0,response
26,451.5,31.5,tones
27,483.0,3.0,response
28,486.0,31.5,positive_music
29,517.5,3.0,response
30,520.5,31.5,tones
31,552.0,3.0,response
32,555.0,31.5,negative_music
33,586.5,3.0,response
34,589.5,31.5,tones
35,621.0,3.0,response
36,624.0,33.0,tones
37,657.0,3.0,response
38,660.0,31.5,negative_music
39,691.5,3.0,response
40,694.5,31.5,tones
41,726.0,3.0,response
42,729.0,31.5,positive_music
43,760.5,3.0,response
44,763.5,31.5,tones
45,795.0,3.0,response
46,798.0,31.5,negative_music
47,829.5,3.0,response
48,832.5,31.5,tones
49,864.0,3.0,response
50,867.0,31.5,positive_music
51,898.5,3.0,response
52,901.5,31.5,tones
53,933.0,3.0,response
